中文	翻译文本
涿郡人，字益德（演义中字翼德）。少年时与关羽一同跟随刘备。关羽年长张飞数岁，张飞便向待兄长那样对待关羽。后随刘备辗转各地。三人情同兄弟，寝则同床，刘备坐下时，和关羽终日侍立在其左右。曹操击破吕布后，张飞被任命为中郎将。刘备与曹操对立后，率领关羽、张飞逃走，终为曹操所败，关羽被擒，刘备与张飞先后投奔袁绍、刘表。后刘备再次被曹操击败，从长坂坡败退时，张飞仅率二十骑，据水断桥，曹军无人敢逼近，刘备等人因此得以免难。刘备入蜀后，张飞与诸葛亮、赵云进军西川，分路平定各郡县。在抵达江州时义释了刘璋手下的巴郡太守严颜。在巴西之战中，击败魏国名将张郃。刘备称帝后，张飞晋升为车骑将军、领司隶校尉，封西乡侯。同年，张飞因为逼迫部将范强、张达太甚，被二人刺死。追谥为桓侯。\n十三四岁的夏侯氏住在谯县，出城拾柴时被张飞所得，张飞知道她是良家女子，于是娶其为妻，之后生下的女儿成为了汉后主刘禅的皇后。	涿郡人，字益德（演義中字翼德）。少年時與關羽一同跟隨劉備。關羽年長張飛數歲，張飛便向待兄長那樣對待關羽。後隨劉備輾轉各地。三人情同兄弟，寢則同床，劉備坐下時，和關羽終日侍立在其左右。曹操擊破呂布後，張飛被任命為中郎將。劉備與曹操對立後，率領關羽、張飛逃走，終為曹操所敗，關羽被擒，劉備與張飛先後投奔袁紹、劉表。後劉備再次被曹操擊敗，從長阪坡敗退時，張飛僅率二十騎，據水斷橋，曹軍無人敢逼近，劉備等人因此得以免難。劉備入蜀後，張飛與諸葛亮、趙雲進軍西川，分路平定各郡縣。在抵達江州時義釋了劉璋手下的巴郡太守嚴顏。在巴西之戰中，擊敗魏國名將張郃。劉備稱帝後，張飛晉升為車騎將軍、領司隸校尉，封西鄉侯。同年，張飛因為逼迫部將范強、張達太甚，被二人刺死。追諡為桓侯。\n十三四歲的夏侯氏住在譙縣，出城拾柴時被張飛所得，張飛知道她是良家女子，於是娶其為妻，之後生下的女兒成為了漢後主劉禪的皇后。
襄阳人。年少时淳朴不露机智，没有人识得他的真才实学，唯有颍川司马徽对他的才识感到惊异。后被本郡任命为功曹，从属于周瑜。庞统秉性注重人伦道德，尽心尽力于赡养老人、抚育子女。周瑜去世后，庞统送丧至吴。刘备占领荆州后，庞统以州从事身份代行耒阳县令，却丝毫不治理县事，遭到免官。鲁肃、诸葛亮皆极力向刘备推荐他，刘备于是与庞统见面长谈，从此大为器重，任命他为治中从事。刘备对庞统的亲密信任仅次于诸葛亮，庞统由是与诸葛亮一同担任军师中郎将。后随从刘备入蜀。益州牧刘璋与备会于涪城，庞统献策诛之，而刘备不同意。璋既还成都，刘备承担起替刘璋北上征讨汉中张鲁的使命，庞统再次劝说刘备，并提供了上中下三计。刘备选择了中计，随即斩了杨怀、高沛，回军进攻成都，所过郡县被一一攻克。刘备军队进围雒县时，庞统率军攻城，被流矢射中而死，年仅三十六岁。刘备十分痛惜，一提到庞统之死就流泪。追赐其爵为关内侯，谥曰靖侯。	襄陽人。年少時淳樸不露機智，沒有人識得他的真才實學，唯有潁川司馬徽對他的才識感到驚異。後被本郡任命為功曹，從屬於周瑜。龐統秉性注重人倫道德，盡心盡力於贍養老人、撫育子女。周瑜去世後，龐統送喪至吳。劉備佔領荊州後，龐統以州從事身份代行耒陽縣令，卻絲毫不治理縣事，遭到免官。魯肅、諸葛亮皆極力向劉備推薦他，劉備於是與龐統見面長談，從此大為器重，任命他為治中從事。劉備對龐統的親密信任僅次於諸葛亮，龐統由是與諸葛亮一同擔任軍師中郎將。後隨從劉備入蜀。益州牧劉璋與備會於涪城，龐統獻策誅之，而劉備不同意。璋既還成都，劉備承擔起替劉璋北上征討漢中張魯的使命，龐統再次勸說劉備，並提供了上中下三計。劉備選擇了中計，隨即斬了楊懷、高沛，回軍進攻成都，所過郡縣被一一攻克。劉備軍隊進圍雒縣時，龐統率軍攻城，被流矢射中而死，年僅三十六歲。劉備十分痛惜，一提到龐統之死就流淚。追賜其爵為關內侯，諡曰靖侯。
扶风茂陵人，伏波将军马援后裔，凉州叛军领袖马腾之子。后马腾入朝为卫尉，马超便统领了父亲的部队，后进军潼关，险些阵斩曹操，后中贾诩的离间计而为曹操所败，与韩遂逃往凉州。杨阜曾评价马超有韩信、英布那样的勇略。次年曹操因马超造反而处死在朝的马腾，夷三族。之后马超率众攻打陇上郡县，诛凉州刺史韦康，占据了冀城，并自称征西将军，领并州牧，督凉州军事。后马超被韦康原部下杨阜等人合谋赶出了凉州，前往汉中投奔了张鲁。后马超认为张鲁不足以共成大事，又险些遭张鲁部下的陷害，于是改投刘备，让被围的刘璋军震恐，加速了其投降。刘备得汉中后，以马超为首的一百二十名大臣联名上疏，劝刘备进位汉中王。刘备自立为汉中王后，拜马超为左将军，假节。刘备称帝后迁为骠骑将军，领凉州牧，进封斄乡侯。死前上奏请刘备照顾唯一的亲族堂弟马岱。谥号威侯。	扶風茂陵人，伏波將軍馬援後裔，涼州叛軍領袖馬騰之子。後馬騰入朝為衛尉，馬超便統領了父親的部隊，後進軍潼關，險些陣斬曹操，後中賈詡的離間計而為曹操所敗，與韓遂逃往涼州。楊阜曾評價馬超有韓信、英布那樣的勇略。次年曹操因馬超造反而處死在朝的馬騰，夷三族。之後馬超率眾攻打隴上郡縣，誅涼州刺史韋康，佔據了冀城，並自稱征西將軍，領並州牧，督涼州軍事。後馬超被韋康原部下楊阜等人合謀趕出了涼州，前往漢中投奔了張魯。後馬超認為張魯不足以共成大事，又險些遭張魯部下的陷害，於是改投劉備，讓被圍的劉璋軍震恐，加速了其投降。劉備得漢中後，以馬超為首的一百二十名大臣聯名上疏，勸劉備進位漢中王。劉備自立為漢中王後，拜馬超為左將軍，假節。劉備稱帝後遷為驃騎將軍，領涼州牧，進封斄鄉侯。死前上奏請劉備照顧唯一的親族堂弟馬岱。諡號威侯。
"涿郡涿县人，蜀汉的开国皇帝，相传是汉景帝之子中山靖王刘胜的后代。刘备少年丧父，与母亲贩鞋织草席为生。黄巾起义时，刘备组织义兵，随政府军剿除黄巾，有功，任安喜县尉，不久因鞭打督邮弃官。后诸侯割据，刘备势力弱小，经常寄人篱下，先后投靠过公孙瓒、曹操、袁绍、刘表等人，几经波折，却仍无自己的地盘。赤壁之战之际，刘备联吴抗曹，取得胜利，从东吴处\""借\""到荆州，迅速发展起来，吞并益州，占领汉中，建立蜀汉政权。后孙权夺取荆州，斩关羽，刘备于称帝后伐吴，在夷陵之战中被陆逊击败，病逝于白帝城，临终托孤于诸葛亮与李严。\n虽与关张恩如兄弟，但并无结义记载。"	"涿郡涿縣人，蜀漢的開國皇帝，相傳是漢景帝之子中山靖王劉勝的後代。劉備少年喪父，與母親販鞋織草席為生。黃巾起義時，劉備組織義兵，隨政府軍剿除黃巾，有功，任安喜縣尉，不久因鞭打督郵棄官。後諸侯割據，劉備勢力弱小，經常寄人籬下，先後投靠過公孫瓚、曹操、袁紹、劉表等人，幾經波折，卻仍無自己的地盤。赤壁之戰之際，劉備聯吳抗曹，取得勝利，從東吳處\""借\""到荊州，迅速發展起來，吞併益州，佔領漢中，建立蜀漢政權。後孫權奪取荊州，斬關羽，劉備於稱帝後伐吳，在夷陵之戰中被陸遜擊敗，病逝於白帝城，臨終托孤於諸葛亮與李嚴。\n雖與關張恩如兄弟，但並無結義記載。"
"南阳郡人。荆州牧刘表任命黄忠中郎将，与刘表从子刘磐共守长沙郡攸县。曹操取得荆州后，让黄忠代理裨将军，仍在长沙任职，统属于长沙太守韩玄。刘备平定荆南诸郡后，黄忠投入了刘备麾下，随从入蜀。在葭萌受任，回打刘璋，黄忠常冲锋陷阵，勇毅冠三军。益州平定后，拜为讨虏将军。后于汉中定军山击夏侯渊，一战斩渊，大败其部队。同年，刘备任汉中王，欲封黄忠为后将军，诸葛亮对刘备道：\""黄忠的名望，素来不是关羽、马超那种程度的。而今即使让他们同列（同属四方将军）。马超、张飞在近处，亲眼看到了他的功劳，尚可明白您的旨意；关羽远在荆州，听到此事一定会不开心，能否不这样做呢？\""而刘备对黄忠非常认可，便派人说服了关羽，黄忠于是与关羽等人齐位，赐爵关内侯。第二年去世，追谥刚侯。有一子黄叙，早年便死去了，没有后代。\n关羽在听闻黄忠与自己同列后，曾说出\""大丈夫终不与老兵同列！\""的怒言。"	"南陽郡人。荊州牧劉表任命黃忠中郎將，與劉表從子劉磐共守長沙郡攸縣。曹操取得荊州後，讓黃忠代理裨將軍，仍在長沙任職，統屬於長沙太守韓玄。劉備平定荊南諸郡後，黃忠投入了劉備麾下，隨從入蜀。在葭萌受任，回打劉璋，黃忠常衝鋒陷陣，勇毅冠三軍。益州平定後，拜為討虜將軍。後於漢中定軍山擊夏侯淵，一戰斬淵，大敗其部隊。同年，劉備任漢中王，欲封黃忠為後將軍，諸葛亮對劉備道：\""黃忠的名望，素來不是關羽、馬超那種程度的。而今即使讓他們同列（同屬四方將軍）。馬超、張飛在近處，親眼看到了他的功勞，尚可明白您的旨意；關羽遠在荊州，聽到此事一定會不開心，能否不這樣做呢？\""而劉備對黃忠非常認可，便派人說服了關羽，黃忠於是與關羽等人齊位，賜爵關內侯。第二年去世，追諡剛侯。有一子黃敘，早年便死去了，沒有後代。\n關羽在聽聞黃忠與自己同列後，曾說出\""大丈夫終不與老兵同列！\""的怒言。"
河东解县人，早年亡命到涿郡。与张飞追随刘备征战四方。后随曹操和刘备讨吕布于下邳，事后为朝廷封为中郎将。当刘备袭讨曹操的徐州刺史车冑后，以关羽镇下邳太守。曹操东征破刘备，将关羽俘获，拜为偏将军，并对他礼遇有佳。白马之战时关羽万军中刺死敌主帅颜良，被封为汉寿亭侯，报了曹操之恩后便告辞，寻找刘备。赤壁之战孙刘联军胜利后，关羽在其后的江陵之战中绝北道，阻隔曹操的援军，为周瑜能攻下江陵创造有利的条件。事后遙领襄阳太守、受封为荡寇将军。诸葛亮等人入蜀增援攻取西川的刘备，留关羽镇守荊州。刘备自立为汉中王，被拜为前将军，假节钺。关羽乘汉水暴涨之机出兵襄樊，更在于禁七军为水所淹乘船进攻，接受于禁的投降，斩庞德，威震华夏；曹操一度想迁都避其锋芒。后因孙权背盟投曹，后方为吕蒙所破，关羽便退兵，但终为孙权军所擒，处死。\n虽与刘备、张飞同床而睡，亲爱如同兄弟，但并无结为义兄弟的记载。并无斩华雄的事迹，但斩颜良、刮骨疗毒之事，与演义大致相同。	河東解縣人，早年亡命到涿郡。與張飛追隨劉備征戰四方。後隨曹操和劉備討呂布於下邳，事後為朝廷封為中郎將。當劉備襲討曹操的徐州刺史車冑後，以關羽鎮下邳太守。曹操東征破劉備，將關羽俘獲，拜為偏將軍，並對他禮遇有佳。白馬之戰時關羽萬軍中刺死敵主帥顏良，被封為漢壽亭侯，報了曹操之恩後便告辭，尋找劉備。赤壁之戰孫劉聯軍勝利後，關羽在其後的江陵之戰中絕北道，阻隔曹操的援軍，為周瑜能攻下江陵創造有利的條件。事後遙領襄陽太守、受封為蕩寇將軍。諸葛亮等人入蜀增援攻取西川的劉備，留關羽鎮守荊州。劉備自立為漢中王，被拜為前將軍，假節鉞。關羽乘漢水暴漲之機出兵襄樊，更在于禁七軍為水所淹乘船進攻，接受于禁的投降，斬龐德，威震華夏；曹操一度想遷都避其鋒芒。後因孫權背盟投曹，後方為呂蒙所破，關羽便退兵，但終為孫權軍所擒，處死。\n雖與劉備、張飛同床而睡，親愛如同兄弟，但並無結為義兄弟的記載。並無斬華雄的事蹟，但斬顏良、刮骨療毒之事，與演義大致相同。
"扶风郿县人。早年投靠刘璋，但既不受重用，又受同僚诽谤。在出使拜访过刘备后，暗中与张松策划拥戴刘备，并利用再次出使刘备的机会，私下向刘备提出借机取蜀的计划。并在刘备征蜀过程中准确预测了刘璋不会采用郑度之计。刘备成功取蜀后，法正被赐予高位，地位仅次于诸葛亮。建安二十二年，法正分析形势，鼓动刘备进攻汉中，并建奇策斩夏侯渊。刘备自立为汉中王后，法正被任命为汉中国尚书令、护军将军。法正的奇谋妙策，诸葛亮也为之惊奇。\n诸葛亮得知刘备东征孙权大败后，叹道：\""法孝直若还在世，则一定能制止主公，让他放弃东征；就算真的东征了，有他在，也不会遇到这种危难的局面。\"""	"扶風郿縣人。早年投靠劉璋，但既不受重用，又受同僚誹謗。在出使拜訪過劉備後，暗中與張松策劃擁戴劉備，並利用再次出使劉備的機會，私下向劉備提出借機取蜀的計畫。並在劉備征蜀過程中準確預測了劉璋不會採用鄭度之計。劉備成功取蜀後，法正被賜予高位，地位僅次於諸葛亮。建安二十二年，法正分析形勢，鼓動劉備進攻漢中，並建奇策斬夏侯淵。劉備自立為漢中王後，法正被任命為漢中國尚書令、護軍將軍。法正的奇謀妙策，諸葛亮也為之驚奇。\n諸葛亮得知劉備東征孫權大敗後，歎道：\""法孝直若還在世，則一定能制止主公，讓他放棄東征；就算真的東征了，有他在，也不會遇到這種危難的局面。\"""
义阳郡人。刘备入蜀时，魏延率领私人武装跟随，屡立战功，被任命为牙门将军。刘备自立为汉中王后，迁治所至成都，需要一位重要将领镇守汉川，大家都议论一定是张飞，张飞也心想必定是他自己。刘备却提拔魏延为督汉中镇远将军，领汉中太守，全军无人不感到惊讶。后魏延于阳谿大败郭淮等人，于是被迁为前军师、征西大将军、假节，晋封为南郑侯。魏延每次随诸葛亮出兵，都想请求单独率领一万人马，与诸葛亮分兵两路进发而会师潼关，像从前韩信所为，诸葛亮总是制止不允。魏延因此常以为诸葛亮胆小，叹恨自己的才能没有得到充分的发挥。魏延与杨仪的关系有如水火。诸葛亮死后，魏延因不服杨仪掌兵，不从诸葛亮遗命撤军，并与杨仪互相上表对方谋反，但朝中蒋琬、董允等人都支持杨仪而怀疑魏延。后魏延派兵阻击杨仪等，但他的部下知道错在魏延，便都不听他的指挥而散去。魏延只能与他的儿子们逃往汉中，但被杨仪派出的马岱追上斩掉，夷三族。\n起初魏延不北往投降魏国而南往返蜀，其本意只是为了除掉杨仪等，并非想背叛蜀国。	義陽郡人。劉備入蜀時，魏延率領私人武裝跟隨，屢立戰功，被任命為牙門將軍。劉備自立為漢中王後，遷治所至成都，需要一位元重要將領鎮守漢川，大家都議論一定是張飛，張飛也心想必定是他自己。劉備卻提拔魏延為督漢中鎮遠將軍，領漢中太守，全軍無人不感到驚訝。後魏延於陽谿大敗郭淮等人，於是被遷為前軍師、征西大將軍、假節，晉封為南鄭侯。魏延每次隨諸葛亮出兵，都想請求單獨率領一萬人馬，與諸葛亮分兵兩路進發而會師潼關，像從前韓信所為，諸葛亮總是制止不允。魏延因此常以為諸葛亮膽小，歎恨自己的才能沒有得到充分的發揮。魏延與楊儀的關係有如水火。諸葛亮死後，魏延因不服楊儀掌兵，不從諸葛亮遺命撤軍，並與楊儀互相上表對方謀反，但朝中蔣琬、董允等人都支持楊儀而懷疑魏延。後魏延派兵阻擊楊儀等，但他的部下知道錯在魏延，便都不聽他的指揮而散去。魏延只能與他的兒子們逃往漢中，但被楊儀派出的馬岱追上斬掉，夷三族。\n起初魏延不北往投降魏國而南往返蜀，其本意只是為了除掉楊儀等，並非想背叛蜀國。
天水冀县人。幼年丧父和母亲生活，喜爱郑玄的经学，曾为魏中郎将，参天水郡军事。诸葛亮第一次北伐后投蜀汉，深得诸葛亮的器重。诸葛亮于五丈原病逝后，姜维令杨仪反旗鸣鼓，导致尾追的司马懿退兵。姜维继诸葛亮之略，伺图中原，恢复汉室。蒋琬和费祎在位时实行保境安民，每次给姜维的兵不过万人。费祎被刺身亡后，姜维从此便率数万人累次北伐中原，降李简、斩徐质、大破王经，一时挫魏国之威。但也有麹城被夺、段谷及侯和之败。后请刘禅诛专权的宦人黄皓不果，以屯田之名避禍沓中。司马昭大举伐蜀姜维上表请朝廷增援，但黄皓并不理会。姜维为邓艾军所缠，后用计令诸葛绪误以他将袭雍州而得脱，于剑阁拒守钟会十余万大军。奈何邓艾暗度阴平，直袭成都。蜀汉震恐后从投降派谯周之议，刘禅投降，并敕令姜维也降，将士得知后奋怒斩石。姜维乃佯降于钟会，看出他阴有异志策应他造反，欲重扶汉室，但事败，姜维及妻儿皆伏诛。\n姜维死后被剖开身体，其胆如斗大。	天水冀縣人。幼年喪父和母親生活，喜愛鄭玄的經學，曾為魏中郎將，參天水郡軍事。諸葛亮第一次北伐後投蜀漢，深得諸葛亮的器重。諸葛亮於五丈原病逝後，姜維令楊儀反旗鳴鼓，導致尾追的司馬懿退兵。姜維繼諸葛亮之略，伺圖中原，恢復漢室。蔣琬和費禕在位時實行保境安民，每次給姜維的兵不過萬人。費禕被刺身亡後，姜維從此便率數萬人累次北伐中原，降李簡、斬徐質、大破王經，一時挫魏國之威。但也有麹城被奪、段谷及侯和之敗。後請劉禪誅專權的宦人黃皓不果，以屯田之名避禍遝中。司馬昭大舉伐蜀姜維上表請朝廷增援，但黃皓並不理會。姜維為鄧艾軍所纏，後用計令諸葛緒誤以他將襲雍州而得脫，於劍閣拒守鐘會十余萬大軍。奈何鄧艾暗度陰平，直襲成都。蜀漢震恐後從投降派譙周之議，劉禪投降，並敕令姜維也降，將士得知後奮怒斬石。姜維乃佯降於鐘會，看出他陰有異志策應他造反，欲重扶漢室，但事敗，姜維及妻兒皆伏誅。\n姜維死後被剖開身體，其膽如鬥大。
黄夫人，本名不详，传说名为黄月英。为沔阳名士黄承彦之女，黄承彦以黄月英有才干向诸葛亮推荐，请求配婚，诸葛亮答应后遂与黄月英结为夫妻，相传黄月英黄头发黑皮肤，但知识广博。但也有一说指黄月英本人极美，因此遭到乡里其他年轻女性的嫉妒而诋毁她的容貌。 诸葛亮发明木牛流马，相传就是从黄月英的传授的技巧上发展出来。荆州一带的特产，相传部分也由黄月英所制造或发明。	黃夫人，本名不詳，傳說名為黃月英。為沔陽名士黃承彥之女，黃承彥以黃月英有才幹向諸葛亮推薦，請求配婚，諸葛亮答應後遂與黃月英結為夫妻，相傳黃月英黃頭髮黑皮膚，但知識廣博。但也有一說指黃月英本人極美，因此遭到鄉里其他年輕女性的嫉妒而詆毀她的容貌。 諸葛亮發明木牛流馬，相傳就是從黃月英的傳授的技巧上發展出來。荊州一帶的特產，相傳部分也由黃月英所製造或發明。
汝南人。刘备帐下白毦兵统领。从刘备在豫州时追随之，名位经常仅次于赵云，二人都以忠勇著称。	汝南人。劉備帳下白毦兵統領。從劉備在豫州時追隨之，名位經常僅次於趙雲，二人都以忠勇著稱。
"关羽生有一女，孙权曾遣使为其子向关羽求亲，关羽骂辱其使者，不许婚，致孙权大怒。以此为原型，出现了关银屏其人其事，但该名字不见史书记载，仅在民间传说中出现，因在关羽的四个子女中排行第三，故又被称作\""关三小姐\""。在传说中她是赵云的弟子、并随同诸葛亮平定南蛮，嫁给蜀国名臣李恢之子李遗"	"關羽生有一女，孫權曾遣使為其子向關羽求親，關羽罵辱其使者，不許婚，致孫權大怒。以此為原型，出現了關銀屏其人其事，但該名字不見史書記載，僅在民間傳說中出現，因在關羽的四個子女中排行第三，故又被稱作\""關三小姐\""。在傳說中她是趙雲的弟子、並隨同諸葛亮平定南蠻，嫁給蜀國名臣李恢之子李遺"
"襄阳宜城人。字季常，兄弟五人，皆有才名，乡里有谚曰：\""马氏五常，白眉最良。（马良之弟马谡字幼常）\""马良眉中有白毛，故称白眉。刘备据荆州时，召马良为从事。刘备入蜀时，马良留荆州。后出使吴，孙权敬待之。刘备东征吴时，派遣良入武陵招纳五溪的蛮夷，蛮夷头领都接受了蜀汉印信封号，全都听命于蜀。后刘备败于夷陵，马良在战乱中遇害。"	"襄陽宜城人。字季常，兄弟五人，皆有才名，鄉里有諺曰：\""馬氏五常，白眉最良。（馬良之弟馬謖字幼常）\""馬良眉中有白毛，故稱白眉。劉備據荊州時，召馬良為從事。劉備入蜀時，馬良留荊州。後出使吳，孫權敬待之。劉備東征吳時，派遣良入武陵招納五溪的蠻夷，蠻夷頭領都接受了蜀漢印信封號，全都聽命於蜀。後劉備敗於夷陵，馬良在戰亂中遇害。"
张飞的长子，未及成年便死去了。留有一子张遵。	張飛的長子，未及成年便死去了。留有一子張遵。
南中少数民族叛乱，汉丞相诸葛亮到南中亲征，百战百捷。闻知有一个名叫孟获的人，向来被本地的夷人和汉人所敬仰，于是发兵攻打并擒获了孟获。诸葛亮采纳了参军马谡的建议，七纵七擒孟获以服其心，最终将其赦免来换取蜀汉南方的民心。此后直到诸葛亮死前，蜀汉南方都没有人敢再次叛乱。	南中少數民族叛亂，漢丞相諸葛亮到南中親征，百戰百捷。聞知有一個名叫孟獲的人，向來被本地的夷人和漢人所敬仰，於是發兵攻打並擒獲了孟獲。諸葛亮採納了參軍馬謖的建議，七縱七擒孟獲以服其心，最終將其赦免來換取蜀漢南方的民心。此後直到諸葛亮死前，蜀漢南方都沒有人敢再次叛亂。
扶风茂陵人，马超从弟。马超临死前上疏刘备，托其照顾马岱。后马岱随丞相诸葛亮伐魏。诸葛亮去世后，魏延反，长使杨仪遣马岱追斩之。	扶風茂陵人，馬超從弟。馬超臨死前上疏劉備，托其照顧馬岱。後馬岱隨丞相諸葛亮伐魏。諸葛亮去世後，魏延反，長使楊儀遣馬岱追斬之。
关羽次子，在父亲关羽与长兄关平死后，继承了父亲的爵位，年少时便有好名，丞相诸葛亮非常器重他。二十岁左右担任了侍中、中监军，几年后便死去了。	關羽次子，在父親關羽與長兄關平死後，繼承了父親的爵位，年少時便有好名，丞相諸葛亮非常器重他。二十歲左右擔任了侍中、中監軍，幾年後便死去了。
扶风郿县人。本为刘璋属下，后与法正迎刘备入蜀。后关羽围樊城、襄阳时因孟达与刘封不发兵助关羽，致关羽败死。又因与刘封不合，且畏惧被刘备治罪，于是投奔曹魏，在魏官至散骑常侍、建武将军，封平阳亭侯。此后又欲反曹魏而归蜀汉，事败，被司马懿所斩。	扶風郿縣人。本為劉璋屬下，後與法正迎劉備入蜀。後關羽圍樊城、襄陽時因孟達與劉封不發兵助關羽，致關羽敗死。又因與劉封不合，且畏懼被劉備治罪，於是投奔曹魏，在魏官至散騎常侍、建武將軍，封平陽亭侯。此後又欲反曹魏而歸蜀漢，事敗，被司馬懿所斬。
襄阳中卢人。初为关羽帐下主簿，关羽败亡后，他归入孙吴。后用诈死之计回归蜀汉，被刘备授为宜都太守。刘备去世后，转拜丞相参军，后为广武都督，迁阴平太守，多次参与蜀汉的北伐。曾预示姜维穷兵黩武必遭恶果，后姜维果然被邓艾击败。蜀汉灭亡后，被迁往洛阳，于中途病逝。	襄陽中盧人。初為關羽帳下主簿，關羽敗亡後，他歸入孫吳。後用詐死之計回歸蜀漢，被劉備授為宜都太守。劉備去世後，轉拜丞相參軍，後為廣武都督，遷陰平太守，多次參與蜀漢的北伐。曾預示姜維窮兵黷武必遭惡果，後姜維果然被鄧艾擊敗。蜀漢滅亡後，被遷往洛陽，於中途病逝。
涿郡人。年少时便与刘备相识，随其辗转各地。刘备到荆州后，简雍与糜竺、孙乾同为从事中郎，常奉行外交使命。后随刘备入益州，受到刘璋的青睐。后刘备围成都，简雍前往城中说服了刘璋投降。简雍性情高傲散漫，为人幽默滑稽。即使是在刘备面前，也不注意礼仪，坐没坐相。除诸葛亮外，与其他人在一起时，就一个人占一张坐榻，手枕着脖子躺着与人讲话。	涿郡人。年少時便與劉備相識，隨其輾轉各地。劉備到荊州後，簡雍與糜竺、孫乾同為從事中郎，常奉行外交使命。後隨劉備入益州，受到劉璋的青睞。後劉備圍成都，簡雍前往城中說服了劉璋投降。簡雍性情高傲散漫，為人幽默滑稽。即使是在劉備面前，也不注意禮儀，坐沒坐相。除諸葛亮外，與其他人在一起時，就一個人佔一張坐榻，手枕著脖子躺著與人講話。
兖州陈留人。为人豪爽侠义。任刘备部下领军。刘备伐吴时，吴班与冯习自巫攻破李异等人。诸葛亮第四次北伐曹魏时，吴班以督后部的身份跟随出征，曹魏派遣司马懿统领魏军抵挡汉军。五月，吴班、魏延和高翔在野战中大败司马懿，获得魏军首级三千级，铁甲五千领，角弩三千一百张。此后，吴班官至骠骑将军。	兗州陳留人。為人豪爽俠義。任劉備部下領軍。劉備伐吳時，吳班與馮習自巫攻破李異等人。諸葛亮第四次北伐曹魏時，吳班以督後部的身份跟隨出征，曹魏派遣司馬懿統領魏軍抵擋漢軍。五月，吳班、魏延和高翔在野戰中大敗司馬懿，獲得魏軍首級三千級，鐵甲五千領，角弩三千一百張。此後，吳班官至驃騎將軍。
东海朐县人，麇竺之弟。初同兄长糜竺仕徐州牧陶谦，陶谦去世后，追随刘备。益州平定后，任南郡太守，与关羽共事。后吕蒙进兵荆州，糜芳叛迎孙权，开城出降，关羽因此败亡。糜芳芳投吴后，多次受到吴臣虞翻的鄙视，羞惭不已。	東海朐縣人，麇竺之弟。初同兄長糜竺仕徐州牧陶謙，陶謙去世後，追隨劉備。益州平定後，任南郡太守，與關羽共事。後呂蒙進兵荊州，糜芳叛迎孫權，開城出降，關羽因此敗亡。糜芳芳投吳後，多次受到吳臣虞翻的鄙視，羞慚不已。
"钜鹿人，东汉末农民起义领袖。与兄弟张宝、张梁，于汉灵帝时期在各地传播\""太平道\""，发展部众至几十万，遍及青、徐、幽、冀、荆、扬、兗、豫八州。184年二月，张角发动起义，打出了\""苍天已死，黄天当立\""的口号，矛头直指东汉朝廷，史称\""黄巾起义\""，影响遍及全国，极大地动摇了东汉政府的统治。同年十月，张角病死，不久其直接领导的黄巾军被镇压。此次起义震撼了东汉王朝的根基与威信，直接导致了东汉末年军阀割据、混战、进而演变为三足鼎立的局面，最终导致东汉灭亡。"	"钜鹿人，東漢末農民起義領袖。與兄弟張寶、張梁，於漢靈帝時期在各地傳播\""太平道\""，發展部眾至幾十萬，遍及青、徐、幽、冀、荊、揚、兗、豫八州。184年二月，張角發動起義，打出了\""蒼天已死，黃天當立\""的口號，矛頭直指東漢朝廷，史稱\""黃巾起義\""，影響遍及全國，極大地動搖了東漢政府的統治。同年十月，張角病死，不久其直接領導的黃巾軍被鎮壓。此次起義震撼了東漢王朝的根基與威信，直接導致了東漢末年軍閥割據、混戰、進而演變為三足鼎立的局面，最終導致東漢滅亡。"
五原郡九原人。吕布诛董卓后，被其聚集起来的凉州党羽李傕等人打出了长安。吕布从此先后投靠袁术、袁绍、张杨，最后在张邈、陈宫的策划下入主兖州，与曹操展开数度激烈的争夺战，先胜后败，投靠了徐州的刘备，屯兵小沛。后趁刘备攻袁术之机夺取了徐州，但两家并未决裂，刘备反投靠吕布，屯于小沛。后袁术攻打刘备，吕布以辕门射戟为赌注，使袁军退却。袁术因欲与吕布联姻但遭到吕布的悔婚且处死自己的使者，怒而起兵伐吕布，被吕布击败。后吕布又与袁术联盟，于小沛将刘备击败。曹操于是与刘备联军，困吕布于下邳。吕布虽骁猛，但无谋而多猜忌，又信妻言，不纳群下之言。终于吕布军上下离心，被部将背叛，不得已而投降，与陈宫、高顺被戮于白门楼。	五原郡九原人。呂布誅董卓後，被其聚集起來的涼州黨羽李傕等人打出了長安。呂布從此先後投靠袁術、袁紹、張楊，最後在張邈、陳宮的策劃下入主兗州，與曹操展開數度激烈的爭奪戰，先勝後敗，投靠了徐州的劉備，屯兵小沛。後趁劉備攻袁術之機奪取了徐州，但兩家並未決裂，劉備反投靠呂布，屯於小沛。後袁術攻打劉備，呂布以轅門射戟為賭注，使袁軍退卻。袁術因欲與呂布聯姻但遭到呂布的悔婚且處死自己的使者，怒而起兵伐呂布，被呂布擊敗。後呂布又與袁術聯盟，於小沛將劉備擊敗。曹操於是與劉備聯軍，困呂布於下邳。呂布雖驍猛，但無謀而多猜忌，又信妻言，不納群下之言。終於呂布軍上下離心，被部將背叛，不得已而投降，與陳宮、高順被戮於白門樓。
